,pokedex_number,name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,growth_rate
201,156,Quilava,2,Normal,Volcano Pokémon,1,Fire,None,0.9,19.0,405,58,64,58,80,65,80,45.0,Medium Slow
202,157,Typhlosion,2,Normal,Volcano Pokémon,1,Fire,None,1.7,79.5,534,78,84,78,109,85,100,45.0,Medium Slow
203,158,Totodile,2,Normal,Big Jaw Pokémon,1,Water,None,0.6,9.5,314,50,65,64,44,48,43,45.0,Medium Slow
204,159,Croconaw,2,Normal,Big Jaw Pokémon,1,Water,None,1.1,25.0,405,65,80,80,59,63,58,45.0,Medium Slow
205,160,Feraligatr,2,Normal,Big Jaw Pokémon,1,Water,None,2.3,88.8,530,85,105,100,79,83,78,45.0,Medium Slow
206,161,Sentret,2,Normal,Scout Pokémon,1,Normal,None,0.8,6.0,215,35,46,34,35,45,20,255.0,Medium Fast
207,162,Furret,2,Normal,Long Body Pokémon,1,Normal,None,1.8,32.5,415,85,76,64,45,55,90,90.0,Medium Fast
208,163,Hoothoot,2,Normal,Owl Pokémon,2,Normal,Flying,0.7,21.2,262,60,30,30,36,56,50,255.0,Medium Fast
209,164,Noctowl,2,Normal,Owl Pokémon,2,Normal,Flying,1.6,40.8,452,100,50,50,86,96,70,90.0,Medium Fast
210,165,Ledyba,2,Normal,Five Star Pokémon,2,Bug,Flying,1.0,10.8,265,40,20,30,40,80,55,255.0,Fast
211,166,Ledian,2,Normal,Five Star Pokémon,2,Bug,Flying,1.4,35.6,390,55,35,50,55,110,85,90.0,Fast
212,167,Spinarak,2,Normal,String Spit Pokémon,2,Bug,Poison,0.5,8.5,250,40,60,40,40,40,30,255.0,Fast
213,168,Ariados,2,Normal,Long Leg Pokémon,2,Bug,Poison,1.1,33.5,400,70,90,70,60,70,40,90.0,Fast
214,169,Crobat,2,Normal,Bat Pokémon,2,Poison,Flying,1.8,75.0,535,85,90,80,70,80,130,90.0,Medium Fast
215,170,Chinchou,2,Normal,Angler Pokémon,2,Water,Electric,0.5,12.0,330,75,38,38,56,56,67,190.0,Slow
216,171,Lanturn,2,Normal,Light Pokémon,2,Water,Electric,1.2,22.5,460,125,58,58,76,76,67,75.0,Slow
217,172,Pichu,2,Normal,Tiny Mouse Pokémon,1,Electric,None,0.3,2.0,205,20,40,15,35,35,60,190.0,Medium Fast
218,173,Cleffa,2,Normal,Star Shape Pokémon,1,Fairy,None,0.3,3.0,218,50,25,28,45,55,15,150.0,Fast
219,174,Igglybuff,2,Normal,Balloon Pokémon,2,Normal,Fairy,0.3,1.0,210,90,30,15,40,20,15,170.0,Fast
220,175,Togepi,2,Normal,Spike Ball Pokémon,1,Fairy,None,0.3,1.5,245,35,20,65,40,65,20,190.0,Fast
221,176,Togetic,2,Normal,Happiness Pokémon,2,Fairy,Flying,0.6,3.2,405,55,40,85,80,105,40,75.0,Fast
222,177,Natu,2,Normal,Tiny Bird Pokémon,2,Psychic,Flying,0.2,2.0,320,40,50,45,70,45,70,190.0,Medium Fast
223,178,Xatu,2,Normal,Mystic Pokémon,2,Psychic,Flying,1.5,15.0,470,65,75,70,95,70,95,75.0,Medium Fast
224,179,Mareep,2,Normal,Wool Pokémon,1,Electric,None,0.6,7.8,280,55,40,40,65,45,35,235.0,Medium Slow
225,180,Flaaffy,2,Normal,Wool Pokémon,1,Electric,None,0.8,13.3,365,70,55,55,80,60,45,120.0,Medium Slow
226,181,Ampharos,2,Normal,Light Pokémon,1,Electric,None,1.4,61.5,510,90,75,85,115,90,55,45.0,Medium Slow
227,181,Mega Ampharos,2,Normal,Light Pokémon,2,Electric,Dragon,1.4,61.5,610,90,95,105,165,110,45,45.0,Medium Slow
228,182,Bellossom,2,Normal,Flower Pokémon,1,Grass,None,0.4,5.8,490,75,80,95,90,100,50,45.0,Medium Slow
229,183,Marill,2,Normal,Aqua Mouse Pokémon,2,Water,Fairy,0.4,8.5,250,70,20,50,20,50,40,190.0,Fast
230,184,Azumarill,2,Normal,Aqua Rabbit Pokémon,2,Water,Fairy,0.8,28.5,420,100,50,80,60,80,50,75.0,Fast
231,185,Sudowoodo,2,Normal,Imitation Pokémon,1,Rock,None,1.2,38.0,410,70,100,115,30,65,30,65.0,Medium Fast
232,186,Politoed,2,Normal,Frog Pokémon,1,Water,None,1.1,33.9,500,90,75,75,90,100,70,45.0,Medium Slow
233,187,Hoppip,2,Normal,Cottonweed Pokémon,2,Grass,Flying,0.4,0.5,250,35,35,40,35,55,50,255.0,Medium Slow
234,188,Skiploom,2,Normal,Cottonweed Pokémon,2,Grass,Flying,0.6,1.0,340,55,45,50,45,65,80,120.0,Medium Slow
235,189,Jumpluff,2,Normal,Cottonweed Pokémon,2,Grass,Flying,0.8,3.0,460,75,55,70,55,95,110,45.0,Medium Slow
236,190,Aipom,2,Normal,Long Tail Pokémon,1,Normal,None,0.8,11.5,360,55,70,55,40,55,85,45.0,Fast
237,191,Sunkern,2,Normal,Seed Pokémon,1,Grass,None,0.3,1.8,180,30,30,30,30,30,30,235.0,Medium Slow
238,192,Sunflora,2,Normal,Sun Pokémon,1,Grass,None,0.8,8.5,425,75,75,55,105,85,30,120.0,Medium Slow
239,193,Yanma,2,Normal,Clear Wing Pokémon,2,Bug,Flying,1.2,38.0,390,65,65,45,75,45,95,75.0,Medium Fast
240,194,Wooper,2,Normal,Water Fish Pokémon,2,Water,Ground,0.4,8.5,210,55,45,45,25,25,15,255.0,Medium Fast
241,195,Quagsire,2,Normal,Water Fish Pokémon,2,Water,Ground,1.4,75.0,430,95,85,85,65,65,35,90.0,Medium Fast
242,196,Espeon,2,Normal,Sun Pokémon,1,Psychic,None,0.9,26.5,525,65,65,60,130,95,110,45.0,Medium Fast
243,197,Umbreon,2,Normal,Moonlight Pokémon,1,Dark,None,1.0,27.0,525,95,65,110,60,130,65,45.0,Medium Fast
244,198,Murkrow,2,Normal,Darkness Pokémon,2,Dark,Flying,0.5,2.1,405,60,85,42,85,42,91,30.0,Medium Slow
245,199,Slowking,2,Normal,Royal Pokémon,2,Water,Psychic,2.0,79.5,490,95,75,80,100,110,30,70.0,Medium Fast
246,199,Galarian Slowking,8,Normal,Hexpert Pokémon,2,Poison,Psychic,1.8,79.5,490,95,65,80,110,110,30,70.0,Medium Fast
247,200,Misdreavus,2,Normal,Screech Pokémon,1,Ghost,None,0.7,1.0,435,60,60,60,85,85,85,45.0,Fast
248,201,Unown,2,Normal,Symbol Pokémon,1,Psychic,None,0.5,5.0,336,48,72,48,72,48,48,225.0,Medium Fast
249,202,Wobbuffet,2,Normal,Patient Pokémon,1,Psychic,None,1.3,28.5,405,190,33,58,33,58,33,45.0,Medium Fast
250,203,Girafarig,2,Normal,Long Neck Pokémon,2,Normal,Psychic,1.5,41.5,455,70,80,65,90,65,85,60.0,Medium Fast
251,204,Pineco,2,Normal,Bagworm Pokémon,1,Bug,None,0.6,7.2,290,50,65,90,35,35,15,190.0,Medium Fast
252,205,Forretress,2,Normal,Bagworm Pokémon,2,Bug,Steel,1.2,125.8,465,75,90,140,60,60,40,75.0,Medium Fast
253,206,Dunsparce,2,Normal,Land Snake Pokémon,1,Normal,None,1.5,14.0,415,100,70,70,65,65,45,190.0,Medium Fast
254,207,Gligar,2,Normal,FlyScorpion Pokémon,2,Ground,Flying,1.1,64.8,430,65,75,105,35,65,85,60.0,Medium Slow
255,208,Steelix,2,Normal,Iron Snake Pokémon,2,Steel,Ground,9.2,400.0,510,75,85,200,55,65,30,25.0,Medium Fast
256,208,Mega Steelix,2,Normal,Iron Snake Pokémon,2,Steel,Ground,10.5,740.0,610,75,125,230,55,95,30,25.0,Medium Fast
257,209,Snubbull,2,Normal,Fairy Pokémon,1,Fairy,None,0.6,7.8,300,60,80,50,40,40,30,190.0,Fast
258,210,Granbull,2,Normal,Fairy Pokémon,1,Fairy,None,1.4,48.7,450,90,120,75,60,60,45,75.0,Fast
259,211,Qwilfish,2,Normal,Balloon Pokémon,2,Water,Poison,0.5,3.9,440,65,95,85,55,55,85,45.0,Medium Fast
260,212,Scizor,2,Normal,Pincer Pokémon,2,Bug,Steel,1.8,118.0,500,70,130,100,55,80,65,25.0,Medium Fast
261,212,Mega Scizor,2,Normal,Pincer Pokémon,2,Bug,Steel,2.0,125.0,600,70,150,140,65,100,75,25.0,Medium Fast
262,213,Shuckle,2,Normal,Mold Pokémon,2,Bug,Rock,0.6,20.5,505,20,10,230,10,230,5,190.0,Medium Slow
263,214,Heracross,2,Normal,Single Horn Pokémon,2,Bug,Fighting,1.5,54.0,500,80,125,75,40,95,85,45.0,Slow
264,214,Mega Heracross,2,Normal,Single Horn Pokémon,2,Bug,Fighting,1.7,62.5,600,80,185,115,40,105,75,45.0,Slow
265,215,Sneasel,2,Normal,Sharp Claw Pokémon,2,Dark,Ice,0.9,28.0,430,55,95,55,35,75,115,60.0,Medium Slow
266,216,Teddiursa,2,Normal,Little Bear Pokémon,1,Normal,None,0.6,8.8,330,60,80,50,50,50,40,120.0,Medium Fast
267,217,Ursaring,2,Normal,Hibernator Pokémon,1,Normal,None,1.8,125.8,500,90,130,75,75,75,55,60.0,Medium Fast
268,218,Slugma,2,Normal,Lava Pokémon,1,Fire,None,0.7,35.0,250,40,40,40,70,40,20,190.0,Medium Fast
269,219,Magcargo,2,Normal,Lava Pokémon,2,Fire,Rock,0.8,55.0,430,60,50,120,90,80,30,75.0,Medium Fast
270,220,Swinub,2,Normal,Pig Pokémon,2,Ice,Ground,0.4,6.5,250,50,50,40,30,30,50,225.0,Slow
271,221,Piloswine,2,Normal,Swine Pokémon,2,Ice,Ground,1.1,55.8,450,100,100,80,60,60,50,75.0,Slow
272,222,Corsola,2,Normal,Coral Pokémon,2,Water,Rock,0.6,5.0,410,65,55,95,65,95,35,60.0,Fast
273,222,Galarian Corsola,2,Normal,Coral Pokémon,1,Ghost,None,0.6,0.5,410,60,55,100,65,100,30,60.0,Fast
274,223,Remoraid,2,Normal,Jet Pokémon,1,Water,None,0.6,12.0,300,35,65,35,65,35,65,190.0,Medium Fast
275,224,Octillery,2,Normal,Jet Pokémon,1,Water,None,0.9,28.5,480,75,105,75,105,75,45,75.0,Medium Fast
276,225,Delibird,2,Normal,Delivery Pokémon,2,Ice,Flying,0.9,16.0,330,45,55,45,65,45,75,45.0,Fast
277,226,Mantine,2,Normal,Kite Pokémon,2,Water,Flying,2.1,220.0,485,85,40,70,80,140,70,25.0,Slow
278,227,Skarmory,2,Normal,Armor Bird Pokémon,2,Steel,Flying,1.7,50.5,465,65,80,140,40,70,70,25.0,Slow
279,228,Houndour,2,Normal,Dark Pokémon,2,Dark,Fire,0.6,10.8,330,45,60,30,80,50,65,120.0,Slow
280,229,Houndoom,2,Normal,Dark Pokémon,2,Dark,Fire,1.4,35.0,500,75,90,50,110,80,95,45.0,Slow
281,229,Mega Houndoom,2,Normal,Dark Pokémon,2,Dark,Fire,1.9,49.5,600,75,90,90,140,90,115,45.0,Slow
282,230,Kingdra,2,Normal,Dragon Pokémon,2,Water,Dragon,1.8,152.0,540,75,95,95,95,95,85,45.0,Medium Fast
283,231,Phanpy,2,Normal,Long Nose Pokémon,1,Ground,None,0.5,33.5,330,90,60,60,40,40,40,120.0,Medium Fast
284,232,Donphan,2,Normal,Armor Pokémon,1,Ground,None,1.1,120.0,500,90,120,120,60,60,50,60.0,Medium Fast
285,233,Porygon2,2,Normal,Virtual Pokémon,1,Normal,None,0.6,32.5,515,85,80,90,105,95,60,45.0,Medium Fast
286,234,Stantler,2,Normal,Big Horn Pokémon,1,Normal,None,1.4,71.2,465,73,95,62,85,65,85,45.0,Slow
287,235,Smeargle,2,Normal,Painter Pokémon,1,Normal,None,1.2,58.0,250,55,20,35,20,45,75,45.0,Fast
288,236,Tyrogue,2,Normal,Scuffle Pokémon,1,Fighting,None,0.7,21.0,210,35,35,35,35,35,35,75.0,Medium Fast
289,237,Hitmontop,2,Normal,Handstand Pokémon,1,Fighting,None,1.4,48.0,455,50,95,95,35,110,70,45.0,Medium Fast
290,238,Smoochum,2,Normal,Kiss Pokémon,2,Ice,Psychic,0.4,6.0,305,45,30,15,85,65,65,45.0,Medium Fast
291,239,Elekid,2,Normal,Electric Pokémon,1,Electric,None,0.6,23.5,360,45,63,37,65,55,95,45.0,Medium Fast
292,240,Magby,2,Normal,Live Coal Pokémon,1,Fire,None,0.7,21.4,365,45,75,37,70,55,83,45.0,Medium Fast
293,241,Miltank,2,Normal,Milk Cow Pokémon,1,Normal,None,1.2,75.5,490,95,80,105,40,70,100,45.0,Slow
294,242,Blissey,2,Normal,Happiness Pokémon,1,Normal,None,1.5,46.8,540,255,10,10,75,135,55,30.0,Fast
295,243,Raikou,2,Sub Legendary,Thunder Pokémon,1,Electric,None,1.9,178.0,580,90,85,75,115,100,115,3.0,Slow
296,244,Entei,2,Sub Legendary,Volcano Pokémon,1,Fire,None,2.1,198.0,580,115,115,85,90,75,100,3.0,Slow
297,245,Suicune,2,Sub Legendary,Aurora Pokémon,1,Water,None,2.0,187.0,580,100,75,115,90,115,85,3.0,Slow
298,246,Larvitar,2,Normal,Rock Skin Pokémon,2,Rock,Ground,0.6,72.0,300,50,64,50,45,50,41,45.0,Slow
299,247,Pupitar,2,Normal,Hard Shell Pokémon,2,Rock,Ground,1.2,152.0,410,70,84,70,65,70,51,45.0,Slow
300,248,Tyranitar,2,Normal,Armor Pokémon,2,Rock,Dark,2.0,202.0,600,100,134,110,95,100,61,45.0,Slow
301,248,Mega Tyranitar,2,Normal,Armor Pokémon,2,Rock,Dark,2.5,255.0,700,100,164,150,95,120,71,45.0,Slow
302,249,Lugia,2,Legendary,Diving Pokémon,2,Psychic,Flying,5.2,216.0,680,106,90,130,90,154,110,3.0,Slow
303,250,Ho-oh,2,Legendary,Rainbow Pokémon,2,Fire,Flying,3.8,199.0,680,106,130,90,110,154,90,3.0,Slow
304,251,Celebi,2,Mythical,Time Travel Pokémon,2,Psychic,Grass,0.6,5.0,600,100,100,100,100,100,100,45.0,Medium Slow
305,252,Treecko,3,Normal,Wood Gecko Pokémon,1,Grass,None,0.5,5.0,310,40,45,35,65,55,70,45.0,Medium Slow
306,253,Grovyle,3,Normal,Wood Gecko Pokémon,1,Grass,None,0.9,21.6,405,50,65,45,85,65,95,45.0,Medium Slow
307,254,Sceptile,3,Normal,Forest Pokémon,1,Grass,None,1.7,52.2,530,70,85,65,105,85,120,45.0,Medium Slow
308,254,Mega Sceptile,3,Normal,Forest Pokémon,2,Grass,Dragon,1.9,55.2,630,70,110,75,145,85,145,45.0,Medium Slow
309,255,Torchic,3,Normal,Chick Pokémon,1,Fire,None,0.4,2.5,310,45,60,40,70,50,45,45.0,Medium Slow
310,256,Combusken,3,Normal,Young Fowl Pokémon,2,Fire,Fighting,0.9,19.5,405,60,85,60,85,60,55,45.0,Medium Slow
311,257,Blaziken,3,Normal,Blaze Pokémon,2,Fire,Fighting,1.9,52.0,530,80,120,70,110,70,80,45.0,Medium Slow
312,257,Mega Blaziken,3,Normal,Blaze Pokémon,2,Fire,Fighting,1.9,52.0,630,80,160,80,130,80,100,45.0,Medium Slow
313,258,Mudkip,3,Normal,Mud Fish Pokémon,1,Water,None,0.4,7.6,310,50,70,50,50,50,40,45.0,Medium Slow
314,259,Marshtomp,3,Normal,Mud Fish Pokémon,2,Water,Ground,0.7,28.0,405,70,85,70,60,70,50,45.0,Medium Slow
315,260,Swampert,3,Normal,Mud Fish Pokémon,2,Water,Ground,1.5,81.9,535,100,110,90,85,90,60,45.0,Medium Slow
316,260,Mega Swampert,3,Normal,Mud Fish Pokémon,2,Water,Ground,1.9,102.0,635,100,150,110,95,110,70,45.0,Medium Slow
317,261,Poochyena,3,Normal,Bite Pokémon,1,Dark,None,0.5,13.6,220,35,55,35,30,30,35,255.0,Medium Fast
318,262,Mightyena,3,Normal,Bite Pokémon,1,Dark,None,1.0,37.0,420,70,90,70,60,60,70,127.0,Medium Fast
319,263,Zigzagoon,3,Normal,TinyRaccoon Pokémon,1,Normal,None,0.4,17.5,240,38,30,41,30,41,60,255.0,Medium Fast
320,263,Galarian Zigzagoon,3,Normal,Tiny Raccoon Pokémon,2,Dark,Normal,0.4,17.5,240,38,30,41,30,41,60,255.0,Medium Fast
321,264,Linoone,3,Normal,Rushing Pokémon,1,Normal,None,0.5,32.5,420,78,70,61,50,61,100,90.0,Medium Fast
322,264,Galarian Linoone,3,Normal,Rushing Pokémon,2,Dark,Normal,0.5,32.5,420,78,70,61,50,61,100,90.0,Medium Fast
323,265,Wurmple,3,Normal,Worm Pokémon,1,Bug,None,0.3,3.6,195,45,45,35,20,30,20,255.0,Medium Fast
324,266,Silcoon,3,Normal,Cocoon Pokémon,1,Bug,None,0.6,10.0,205,50,35,55,25,25,15,120.0,Medium Fast
325,267,Beautifly,3,Normal,Butterfly Pokémon,2,Bug,Flying,1.0,28.4,395,60,70,50,100,50,65,45.0,Medium Fast
326,268,Cascoon,3,Normal,Cocoon Pokémon,1,Bug,None,0.7,11.5,205,50,35,55,25,25,15,120.0,Medium Fast
327,269,Dustox,3,Normal,Poison Moth Pokémon,2,Bug,Poison,1.2,31.6,385,60,50,70,50,90,65,45.0,Medium Fast
328,270,Lotad,3,Normal,Water Weed Pokémon,2,Water,Grass,0.5,2.6,220,40,30,30,40,50,30,255.0,Medium Slow
329,271,Lombre,3,Normal,Jolly Pokémon,2,Water,Grass,1.2,32.5,340,60,50,50,60,70,50,120.0,Medium Slow
330,272,Ludicolo,3,Normal,Carefree Pokémon,2,Water,Grass,1.5,55.0,480,80,70,70,90,100,70,45.0,Medium Slow
331,273,Seedot,3,Normal,Acorn Pokémon,1,Grass,None,0.5,4.0,220,40,40,50,30,30,30,255.0,Medium Slow
332,274,Nuzleaf,3,Normal,Wily Pokémon,2,Grass,Dark,1.0,28.0,340,70,70,40,60,40,60,120.0,Medium Slow
333,275,Shiftry,3,Normal,Wicked Pokémon,2,Grass,Dark,1.3,59.6,480,90,100,60,90,60,80,45.0,Medium Slow
334,276,Taillow,3,Normal,TinySwallow Pokémon,2,Normal,Flying,0.3,2.3,270,40,55,30,30,30,85,200.0,Medium Slow
335,277,Swellow,3,Normal,Swallow Pokémon,2,Normal,Flying,0.7,19.8,455,60,85,60,75,50,125,45.0,Medium Slow
336,278,Wingull,3,Normal,Seagull Pokémon,2,Water,Flying,0.6,9.5,270,40,30,30,55,30,85,190.0,Medium Fast
337,279,Pelipper,3,Normal,Water Bird Pokémon,2,Water,Flying,1.2,28.0,440,60,50,100,95,70,65,45.0,Medium Fast
338,280,Ralts,3,Normal,Feeling Pokémon,2,Psychic,Fairy,0.4,6.6,198,28,25,25,45,35,40,235.0,Slow
339,281,Kirlia,3,Normal,Emotion Pokémon,2,Psychic,Fairy,0.8,20.2,278,38,35,35,65,55,50,120.0,Slow
340,282,Gardevoir,3,Normal,Embrace Pokémon,2,Psychic,Fairy,1.6,48.4,518,68,65,65,125,115,80,45.0,Slow
341,282,Mega Gardevoir,3,Normal,Embrace Pokémon,2,Psychic,Fairy,1.6,48.4,618,68,85,65,165,135,100,45.0,Slow
342,283,Surskit,3,Normal,Pond Skater Pokémon,2,Bug,Water,0.5,1.7,269,40,30,32,50,52,65,200.0,Medium Fast
343,284,Masquerain,3,Normal,Eyeball Pokémon,2,Bug,Flying,0.8,3.6,454,70,60,62,100,82,80,75.0,Medium Fast
344,285,Shroomish,3,Normal,Mushroom Pokémon,1,Grass,None,0.4,4.5,295,60,40,60,40,60,35,255.0,Fluctuating
345,286,Breloom,3,Normal,Mushroom Pokémon,2,Grass,Fighting,1.2,39.2,460,60,130,80,60,60,70,90.0,Fluctuating
346,287,Slakoth,3,Normal,Slacker Pokémon,1,Normal,None,0.8,24.0,280,60,60,60,35,35,30,255.0,Slow
347,288,Vigoroth,3,Normal,Wild Monkey Pokémon,1,Normal,None,1.4,46.5,440,80,80,80,55,55,90,120.0,Slow
348,289,Slaking,3,Normal,Lazy Pokémon,1,Normal,None,2.0,130.5,670,150,160,100,95,65,100,45.0,Slow
349,290,Nincada,3,Normal,Trainee Pokémon,2,Bug,Ground,0.5,5.5,266,31,45,90,30,30,40,255.0,Erratic
350,291,Ninjask,3,Normal,Ninja Pokémon,2,Bug,Flying,0.8,12.0,456,61,90,45,50,50,160,120.0,Erratic
351,292,Shedinja,3,Normal,Shed Pokémon,2,Bug,Ghost,0.8,1.2,236,1,90,45,30,30,40,45.0,Erratic
352,293,Whismur,3,Normal,Whisper Pokémon,1,Normal,None,0.6,16.3,240,64,51,23,51,23,28,190.0,Medium Slow
353,294,Loudred,3,Normal,Big Voice Pokémon,1,Normal,None,1.0,40.5,360,84,71,43,71,43,48,120.0,Medium Slow
354,295,Exploud,3,Normal,Loud Noise Pokémon,1,Normal,None,1.5,84.0,490,104,91,63,91,73,68,45.0,Medium Slow
355,296,Makuhita,3,Normal,Guts Pokémon,1,Fighting,None,1.0,86.4,237,72,60,30,20,30,25,180.0,Fluctuating
356,297,Hariyama,3,Normal,Arm Thrust Pokémon,1,Fighting,None,2.3,253.8,474,144,120,60,40,60,50,200.0,Fluctuating
357,298,Azurill,3,Normal,Polka Dot Pokémon,2,Normal,Fairy,0.2,2.0,190,50,20,40,20,40,20,150.0,Fast
358,299,Nosepass,3,Normal,Compass Pokémon,1,Rock,None,1.0,97.0,375,30,45,135,45,90,30,255.0,Medium Fast
359,300,Skitty,3,Normal,Kitten Pokémon,1,Normal,None,0.6,11.0,260,50,45,45,35,35,50,255.0,Fast
360,301,Delcatty,3,Normal,Prim Pokémon,1,Normal,None,1.1,32.6,400,70,65,65,55,55,90,60.0,Fast
361,302,Sableye,3,Normal,Darkness Pokémon,2,Dark,Ghost,0.5,11.0,380,50,75,75,65,65,50,45.0,Medium Slow
362,302,Mega Sableye,3,Normal,Darkness Pokémon,2,Dark,Ghost,0.5,161.0,480,50,85,125,85,115,20,45.0,Medium Slow
363,303,Mawile,3,Normal,Deceiver Pokémon,2,Steel,Fairy,0.6,11.5,380,50,85,85,55,55,50,45.0,Fast
364,303,Mega Mawile,3,Normal,Deceiver Pokémon,2,Steel,Fairy,1.0,23.5,480,50,105,125,55,95,50,45.0,Fast
365,304,Aron,3,Normal,Iron Armor Pokémon,2,Steel,Rock,0.4,60.0,330,50,70,100,40,40,30,180.0,Slow
366,305,Lairon,3,Normal,Iron Armor Pokémon,2,Steel,Rock,0.9,120.0,430,60,90,140,50,50,40,90.0,Slow
367,306,Aggron,3,Normal,Iron Armor Pokémon,2,Steel,Rock,2.1,360.0,530,70,110,180,60,60,50,45.0,Slow
368,306,Mega Aggron,3,Normal,Iron Armor Pokémon,1,Steel,None,2.2,395.0,630,70,140,230,60,80,50,45.0,Slow
369,307,Meditite,3,Normal,Meditate Pokémon,2,Fighting,Psychic,0.6,11.2,280,30,40,55,40,55,60,180.0,Medium Fast
370,308,Medicham,3,Normal,Meditate Pokémon,2,Fighting,Psychic,1.3,31.5,410,60,60,75,60,75,80,90.0,Medium Fast
371,308,Mega Medicham,3,Normal,Meditate Pokémon,2,Fighting,Psychic,1.3,31.5,510,60,100,85,80,85,100,90.0,Medium Fast
372,309,Electrike,3,Normal,Lightning Pokémon,1,Electric,None,0.6,15.2,295,40,45,40,65,40,65,120.0,Slow
373,310,Manectric,3,Normal,Discharge Pokémon,1,Electric,None,1.5,40.2,475,70,75,60,105,60,105,45.0,Slow
374,310,Mega Manectric,3,Normal,Discharge Pokémon,1,Electric,None,1.8,44.0,575,70,75,80,135,80,135,45.0,Slow
375,311,Plusle,3,Normal,Cheering Pokémon,1,Electric,None,0.4,4.2,405,60,50,40,85,75,95,200.0,Medium Fast
376,312,Minun,3,Normal,Cheering Pokémon,1,Electric,None,0.4,4.2,405,60,40,50,75,85,95,200.0,Medium Fast
377,313,Volbeat,3,Normal,Firefly Pokémon,1,Bug,None,0.7,17.7,430,65,73,75,47,85,85,150.0,Erratic
378,314,Illumise,3,Normal,Firefly Pokémon,1,Bug,None,0.6,17.7,430,65,47,75,73,85,85,150.0,Fluctuating
379,315,Roselia,3,Normal,Thorn Pokémon,2,Grass,Poison,0.3,2.0,400,50,60,45,100,80,65,150.0,Medium Slow
380,316,Gulpin,3,Normal,Stomach Pokémon,1,Poison,None,0.4,10.3,302,70,43,53,43,53,40,225.0,Fluctuating
381,317,Swalot,3,Normal,Poison Bag Pokémon,1,Poison,None,1.7,80.0,467,100,73,83,73,83,55,75.0,Fluctuating
382,318,Carvanha,3,Normal,Savage Pokémon,2,Water,Dark,0.8,20.8,305,45,90,20,65,20,65,225.0,Slow
383,319,Sharpedo,3,Normal,Brutal Pokémon,2,Water,Dark,1.8,88.8,460,70,120,40,95,40,95,60.0,Slow
384,319,Mega Sharpedo,3,Normal,Brutal Pokémon,2,Water,Dark,2.5,130.3,560,70,140,70,110,65,105,60.0,Slow
385,320,Wailmer,3,Normal,Ball Whale Pokémon,1,Water,None,2.0,130.0,400,130,70,35,70,35,60,125.0,Fluctuating
386,321,Wailord,3,Normal,Float Whale Pokémon,1,Water,None,14.5,398.0,500,170,90,45,90,45,60,60.0,Fluctuating
387,322,Numel,3,Normal,Numb Pokémon,2,Fire,Ground,0.7,24.0,305,60,60,40,65,45,35,255.0,Medium Fast
388,323,Camerupt,3,Normal,Eruption Pokémon,2,Fire,Ground,1.9,220.0,460,70,100,70,105,75,40,150.0,Medium Fast
389,323,Mega Camerupt,3,Normal,Eruption Pokémon,2,Fire,Ground,2.5,320.5,560,70,120,100,145,105,20,150.0,Medium Fast
390,324,Torkoal,3,Normal,Coal Pokémon,1,Fire,None,0.5,80.4,470,70,85,140,85,70,20,90.0,Medium Fast
391,325,Spoink,3,Normal,Bounce Pokémon,1,Psychic,None,0.7,30.6,330,60,25,35,70,80,60,255.0,Fast
392,326,Grumpig,3,Normal,Manipulate Pokémon,1,Psychic,None,0.9,71.5,470,80,45,65,90,110,80,60.0,Fast
393,327,Spinda,3,Normal,Spot Panda Pokémon,1,Normal,None,1.1,5.0,360,60,60,60,60,60,60,255.0,Fast
394,328,Trapinch,3,Normal,Ant Pit Pokémon,1,Ground,None,0.7,15.0,290,45,100,45,45,45,10,255.0,Medium Slow
395,329,Vibrava,3,Normal,Vibration Pokémon,2,Ground,Dragon,1.1,15.3,340,50,70,50,50,50,70,120.0,Medium Slow
396,330,Flygon,3,Normal,Mystic Pokémon,2,Ground,Dragon,2.0,82.0,520,80,100,80,80,80,100,45.0,Medium Slow
397,331,Cacnea,3,Normal,Cactus Pokémon,1,Grass,None,0.4,51.3,335,50,85,40,85,40,35,190.0,Medium Slow
398,332,Cacturne,3,Normal,Scarecrow Pokémon,2,Grass,Dark,1.3,77.4,475,70,115,60,115,60,55,60.0,Medium Slow
399,333,Swablu,3,Normal,Cotton Bird Pokémon,2,Normal,Flying,0.4,1.2,310,45,40,60,40,75,50,255.0,Erratic
400,334,Altaria,3,Normal,Humming Pokémon,2,Dragon,Flying,1.1,20.6,490,75,70,90,70,105,80,45.0,Erratic
401,334,Mega Altaria,3,Normal,Humming Pokémon,2,Dragon,Fairy,1.5,20.6,590,75,110,110,110,105,80,45.0,Erratic
402,335,Zangoose,3,Normal,Cat Ferret Pokémon,1,Normal,None,1.3,40.3,458,73,115,60,60,60,90,90.0,Erratic
403,336,Seviper,3,Normal,Fang Snake Pokémon,1,Poison,None,2.7,52.5,458,73,100,60,100,60,65,90.0,Fluctuating
404,337,Lunatone,3,Normal,Meteorite Pokémon,2,Rock,Psychic,1.0,168.0,460,90,55,65,95,85,70,45.0,Fast
405,338,Solrock,3,Normal,Meteorite Pokémon,2,Rock,Psychic,1.2,154.0,460,90,95,85,55,65,70,45.0,Fast
